catalogue	K05973_species	K05973_novelSpecies	K22249_species	K22249_novelSpecies	K22250_species	K22250_novelSpecies	K07518_species	K07518_novelSpecies	K00019_species	K00019_novelSpecies	K01907_species	K01907_novelSpecies
Acid Habitat	146	26	1	0	1	0	14	3	354	59	222	44
Acid Mine Drainage	25	8	0	0	0	0	2	0	42	12	47	7
Agricultural Soil	100	91	4	2	4	2	13	12	220	188	237	216
Arabidopsis Rhizosphere	46	29	2	1	2	1	10	6	59	41	33	25
Atlantic salmon Gut	2	1	1	0	1	0	0	0	4	1	2	0
Bean Rhizosphere	17	10	1	0	1	0	1	1	21	13	15	8
Bear Oral	8	2	10	0	10	0	1	0	27	4	10	1
Buffalo Gut	8	5	2	0	2	0	1	1	17	8	8	2
Cat Gut	0	0	0	0	0	0	0	0	5	2	0	0
Cattle Gut	162	51	8	1	8	1	19	10	254	89	120	43
Chicken Gut	135	25	8	3	8	3	16	2	223	36	87	9
Cold Habitat	429	336	21	11	21	11	47	41	730	563	500	356
Deer Gut	6	3	4	2	4	2	1	0	18	8	9	5
Dog Gut	1	0	1	0	1	0	0	0	8	1	0	0
Drinking Water	839	575	22	5	22	5	67	42	1092	750	366	237
Dromedary Gut	0	0	0	0	0	0	0	0	2	0	0	0
Duck Gut	0	0	0	0	0	0	0	0	5	3	2	1
Elephant Gut	2	2	1	1	1	1	0	0	7	6	0	0
Freshwater Lake Water	1014	520	6	0	6	0	20	9	1388	711	578	294
Freshwater Riverine	260	163	9	1	9	1	20	11	380	239	162	98
Freshwater Sediment	744	714	8	6	8	6	92	90	1078	1027	436	412
Giant panda Gut	37	28	8	2	8	2	8	7	88	48	24	12
Goat Gut	14	3	1	0	1	0	0	0	41	17	18	8
Groundwater	36	4	11	4	11	4	9	1	65	14	61	20
Horse Gut	0	0	2	0	2	0	0	0	7	4	5	3
Hot Habitat	141	73	7	2	7	2	13	5	341	199	362	231
Hot Spring	66	40	1	0	1	0	4	2	118	79	82	61
Human Gut	95	17	27	4	27	4	12	1	281	58	94	14
Human Skin	220	112	29	3	29	3	26	8	405	165	127	44
Human Vaginal	2	0	1	0	1	0	0	0	16	0	2	0
Hydrothermal Vent	47	18	3	0	3	0	4	0	89	31	150	63
Koala Gut	0	0	0	0	0	0	0	0	2	0	0	0
Marine Seawater	1367	681	51	9	51	9	52	17	2006	986	1666	862
Marine Sediment	131	62	4	0	4	0	14	7	344	191	663	446
Mouse Gut	8	0	2	0	2	0	2	0	38	0	6	0
Musk Gut	0	0	0	0	0	0	0	0	3	2	1	0
Permafrost	101	62	0	0	0	0	2	1	220	142	178	124
Pig Gut	16	4	2	0	2	0	3	2	71	21	13	5
Pressure Habitat	183	58	3	0	3	0	10	1	307	109	425	188
Rice Rhizosphere	54	37	1	1	1	1	7	2	61	45	37	26
Saline Lake	163	102	7	4	7	4	9	5	244	153	130	93
Saline-alkaline Habitat	212	132	3	0	3	0	10	7	505	317	376	243
Sheep Gut	31	14	1	0	1	0	0	0	55	23	23	16
Turkey Gut	5	3	0	0	0	0	1	0	14	5	8	4
Vulture Gut	1	0	0	0	0	0	1	0	3	1	1	0
Wastewater	957	698	38	14	38	14	168	113	1438	1008	631	439
Waterdeer Gut	0	0	0	0	0	0	0	0	4	1	0	0
Wetlands Sediment	4	4	0	0	0	0	0	0	10	10	7	7
Wheat Rhizosphere	23	15	6	2	6	2	7	7	59	44	35	24
Zebrafish Gut	62	24	2	0	2	0	5	2	88	30	36	10
