ko	genomeId	locusid	contigId	sStart	eEnd	orient	gtdb_mini_taxonomy	gtdb_lineage
K05973	GCMeta_02134005	AAAEEGEC_02157	GCMeta_02134005_00166	1956	3284	-	Hydrogenophaga sp023415035	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__Hydrogenophaga sp023415035
K05973	GCMeta_01264103	AAAGKIAO_02007	GCMeta_01264103_00111	6313	7539	-	JADKJR01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__JADKJR01;s__
K05973	GCMeta_01168005	AAAHDKAI_01292	GCMeta_01168005_00096	6813	8057	+	Minwuia	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Minwuiales;f__Minwuiaceae;g__Minwuia;s__
K05973	GCMeta_01292737	AAAOMOIJ_00368	GCMeta_01292737_00002	176765	178000	+	JACPVY01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JACPVY01;s__
K05973	GCMeta_01336449	AACAFLAE_00310	GCMeta_01336449_00002	83917	85152	-	SYFN01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__SYFN01;s__
K05973	GCMeta_02133438	AACNEBJL_00529	GCMeta_02133438_00017	8789	10144	-	Pseudorhodoplanes sp023387555	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudorhodoplanes;s__Pseudorhodoplanes sp023387555
K05973	GCMeta_02133438	AACNEBJL_01105	GCMeta_02133438_00041	18813	20024	+	Pseudorhodoplanes sp023387555	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudorhodoplanes;s__Pseudorhodoplanes sp023387555
K05973	GCMeta_01313748	AADANNCH_01358	GCMeta_01313748_00116	79	1299	-	Sphingopyxis granuli	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis granuli
K05973	GCMeta_01306007	AADOANON_02355	GCMeta_01306007_00140	1484	2731	-	Brevundimonas	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
K05973	GCMeta_01097591	AAFFLNDB_02359	GCMeta_01097591_00024	48484	49788	+	Faunimonas	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Afifellaceae;g__Faunimonas;s__
