genomeNo	speciesGenomeNo	taxonomy	lineage	biorank	D_name	catalogueGroup	catalogueName	quality	completeness	contamination	size	gc	contig	type	OTU	OTU_status	projectNo	sampleNo	runNo	tier	nDegKos	degKos	nDepolymeraseLoci	depolymeraseLoci	synthKos
GCMeta_00001098	GCMeta_00001098	s__Cupriavidus metallidurans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus metallidurans	species	Bacteria	Human	Human Gut	Medium-quality	98.8	0.8	3680628	64.03	113	Mgnify	gcMeta_totalOTUv1.0_032160	representative	PRJNA297252	SAMN04126120	SRR2565990	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00022405	GCMeta_00022405	s__Comamonas acidovorans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas acidovorans	species	Bacteria	Animals	Mouse Gut	Medium-quality	99.85	0.46	6473927	66.57	34	Mgnify	gcMeta_totalOTUv1.0_032129	representative	PRJNA852525	SAMN29499406	SRR19981107	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00180184	GCMeta_00180184	g__JAGOEY01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAGOEY01;s__	genus	Bacteria	Wild Animals	Giant panda Gut	Medium-quality	58.38	6.034	3196666	61.9	363	gcMeta	gcMeta_totalOTUv1.0_058007	representative	PRJNA750776	SAMN20491969	SRR15306717	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00200117	GCMeta_00200117	s__Zoogloea sp017309145	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__Zoogloea sp017309145	species	Bacteria	Fish	Zebrafish Gut	Medium-quality	96.88	1.068	5768974	65.76	504	gcMeta	gcMeta_totalOTUv1.0_033246	representative	PRJNA806371	SAMN25875163	SRR18030335	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00200191	GCMeta_00200191	g__Rhodoferax_C	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax_C;s__	genus	Bacteria	Fish	Zebrafish Gut	Medium-quality	93.94	0.872	4454805	63.37	345	gcMeta	gcMeta_totalOTUv1.0_058270	representative	PRJNA781418	SAMN23257880	SRR17008752	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00360002	GCMeta_00360002	s__Noviherbaspirillum_A pedocola	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum_A;s__Noviherbaspirillum_A pedocola	species	Bacteria	Plant Rhizosphere	Arabidopsis Rhizosphere	Medium-quality	96.39	1.593	5599449	62.61	128	gcMeta	gcMeta_totalOTUv1.0_032406	representative	PRJNA646933	SAMN15568227	SRR12247762	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00360026	GCMeta_00360026	g__Albitalea	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Albitalea;s__	genus	Bacteria	Plant Rhizosphere	Arabidopsis Rhizosphere	High-quality	95.57	3.282	5702275	67.29	392	gcMeta	gcMeta_totalOTUv1.0_061645	representative	PRJDB12268	SAMD00402751	DRR318378	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00360033	GCMeta_00360033	s__Acidovorax sp000302535	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__Acidovorax sp000302535	species	Bacteria	Plant Rhizosphere	Arabidopsis Rhizosphere	Medium-quality	98.39	0.022	4918612	65.34	58	gcMeta	gcMeta_totalOTUv1.0_032021	member	PRJDB12268	SAMD00402770	DRR318397	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00360039	GCMeta_00360039	g__Noviherbaspirillum	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum;s__	genus	Bacteria	Plant Rhizosphere	Arabidopsis Rhizosphere	Medium-quality	87.88	1.858	5528398	61.35	490	gcMeta	gcMeta_totalOTUv1.0_061651	representative	PRJDB12268	SAMD00402781	DRR318408	1	4	K00019;K01907;K05973;K07518	3	3xK05973	K00023;K00626;K03821
GCMeta_00360056	GCMeta_00360056	g__Noviherbaspirillum_A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum_A;s__	genus	Bacteria	Plant Rhizosphere	Arabidopsis Rhizosphere	Medium-quality	91.68	0.664	5271253	63.3	174	gcMeta	gcMeta_totalOTUv1.0_061665	representative	PRJNA646933	SAMN15568227	SRR12247762	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
